Показатели;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026
Продукция растениеводства;18658.7;22696.399999999998;26640.699999999997;24266.5;32505.6;35861.1;46279.0;41157.7;30037.699999999997;48588.1;34963.9;48466.399999999994;51440.399999999994;65648.8;69282.8;64303.5;65055.1;71506.4;86107.2;;;;;;
Продукция растениеводства прогноз;;;;;;;;;;;;;;;;64422,4805;64979,6484;71498,3516;86089,7969;88493,1719;101210,7031;113057,3281;112031,7188;102255,5625;111593,6875
Продукция сельского хозяйства;42880.7;49105.6;55276.1;60351.2;70904.4;80480.7;102814.3;100724.5;86171.7;107122.3;102932.4;119796.6;128186.1;149964.5;158708.8;157270.1;157486.1;167120.5;189571.6;;;;;;
Продукция сельского хозяйства прогноз;;;;;;;;;;;;;;;;157141,7031;157571,6094;167125,9219;189588,1406;201765,4688;227503,5156;260792,4688;264318,0938;255139,8125;267630,0
Продукция животноводства;25338.3;27930.1;30695.1;36084.7;41133.299999999996;44619.6;56535.299999999996;59566.799999999996;56134.1;58534.2;67968.4;71330.3;76745.7;84315.7;89426.0;92966.59999999999;92431.0;95614.09999999999;103464.4;;;;;;
Продукция животноводства прогноз;;;;;;;;;;;;;;;;92819,4844;92511,7656;95602,6797;103499,8203;111432,3672;117982,8906;148482,2031;152079,75;144070,6875;148911,0938
Инвестиции в основной капитал;47027.939999999995;54777.5;67420.93;84471.0;107751.0;160345.0;203657.0;148142.0;153625.0;188506.0;233683.0;266396.0;283545.0;317764.0;355109.26;278591.6;267868.1;322104.2;365900.15499999997;;;;;;
Инвестиции в основной капитал прогноз;;;;;;;;;;;;;;;;278600,5938;267852,125;322100,4688;365904,4062;408383,9375;513715,0312;606928,625;550033,875;438475,8125;490574,4062
