Показатели;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026
Продукция растениеводства;18658.7;22696.399999999998;26640.699999999997;24266.5;32505.6;35861.1;46279.0;41157.7;30037.699999999997;48588.1;34963.9;48466.399999999994;51440.399999999994;65648.8;69282.8;64303.5;65055.1;71506.4;86107.2;;;;;;
Продукция растениеводства прогноз;;;;;;;;;;;;;;;;64303,5664;65054,8008;71504,8125;86106,6875;82215,25;98646,0625;112474,625;124595,1328;123787,4297;113045,5469
Продукция сельского хозяйства;42880.7;49105.6;55276.1;60351.2;70904.4;80480.7;102814.3;100724.5;86171.7;107122.3;102932.4;119796.6;128186.1;149964.5;158708.8;157270.1;157486.1;167120.5;189571.6;;;;;;
Продукция сельского хозяйства прогноз;;;;;;;;;;;;;;;;162404,0625;165787,7344;174996,6719;190652,7969;204992,5938;223917,7812;240081,6719;254614,1875;265306,4062;279407,2812
Продукция животноводства;25338.3;27930.1;30695.1;36084.7;41133.299999999996;44619.6;56535.299999999996;59566.799999999996;56134.1;58534.2;67968.4;71330.3;76745.7;84315.7;89426.0;92966.59999999999;92431.0;95614.09999999999;103464.4;;;;;;
Продукция животноводства прогноз;;;;;;;;;;;;;;;;87874,0469;93223,3516;100219,8438;105804,0547;109765,7188;115965,0234;121491,7188;126150,2656;131474,1875;137625,5156
Инвестиции в основной капитал;47027.939999999995;54777.5;67420.93;84471.0;107751.0;160345.0;203657.0;148142.0;153625.0;188506.0;233683.0;266396.0;283545.0;317764.0;355109.26;278591.6;267868.1;322104.2;365900.15499999997;;;;;;
Инвестиции в основной капитал прогноз;;;;;;;;;;;;;;;;268410,875;297233,0;327522,6562;348567,0;387435,6875;703500,625;585014,0625;757173,25;539562,0;562202,8125
